title,year,journal,authors,abstract,David,Najmul,Lia,Agreement
"Household predictors of abundance of the Lassa virus reservoir, Mastomys natalensis, in the Eastern Province of Sierra Leone",2009,American Journal of Tropical Medicine and Hygiene,"Moses, L. M. and Kargbo, K. and Koninga, J. and Robert, W. and Lungay, V. K. and Fonnie, R. and Kanneh, L. D. and Bangura, J. J. and Garry, R. F. and Bausch, D. G.","Lassa fever is a severe hemorrhagic illness caused by Lassa virus, which is transmitted to humans primarily by contact with the excreta or blood of Mastomys rodents. Current recommendations to reduce Mastomys abundance in homes include improved food storage and removal of rodents by trapping or poison. It is unknown if house construction influences Mastomys infestation or if improved house construction is an effective control. For this study, two villages (<100 houses) and two towns (>200 houses) were sampled during the dry season in the Eastern Province of Sierra Leone, an area of high Lassa fever incidence. Household features including construction type and refuse location were documented, and knowledge of Lassa fever was assessed in one resident per household. To date, 142 houses have been sampled 102 in villages, where all homes were included, and 40 in towns, where homes were sampled in two transects along the town perimeter. Three of the study sites had a laboratory-confirmed case of Lassa fever within two weeks prior to site visit, and rodent tissue was collected for further studies. A total of 224 small mammals were trapped in 2,909 trap nights (overall trap success [TS]=7.7%), including 162 M. natalensis (M. natalensis TS=5.6%), 55 Rattus, 6 Crocidura, and 1 Mus. Absolute number and TS of M. natalensis was similar between villages and towns. In a linear regression model, Mastomys-specific TS was correlated with the number of rodent burrows observed in homes (t=2.62, p=0.01). Wall and roof type were not associated with M. natalensis TS, however, type of floor construction did approach significance (t=-1.84, p=0.068). This relationship may be elucidated as we accrue a larger sample size in this ongoing study. Mastomys are burrowing rodents and the number of burrows observed may serve as a rapid indicator of Mastomys abundance and Lassa fever risk, as suggested by previous investigators. The ability of Mastomys to burrow in dirt floors may determine their capacity to infest houses, and promotion of cement floors may be a valuable control measure.",Include,Exclude,Maybe,>1
Detection of Lassa virus antigens and Lassa virus-specific immunoglobulins G and M by enzyme-linked immunosorbent assay,1984,Journal of Clinical Microbiology,"Niklasson, B. S. and Jahrling, P. B. and Peters, C. J.","Rapid diagnosis of Lassa fever is desirable for the timely therapeutic intervention and implementation of strict quarantine procedures both in West Africa field hospitals where the disease is endemic and at international crossroads. An enzyme-linked immunosorbent assay (ELISA) to measure Lassa virus antigens in viremic sera was developed in which experimentally infected monkeys were used as a model for the human disease. In this test, Lassa virus antigens in test sera were captured in wells of microtiter plates by monkey anti-Lassa virus immunoglobulin. Guinea pig anti-Lassa virus immunoglobulin was then added, and binding of specific immunoglobulin was quantitated by the addition of rabbit anti-guinea pig immunoglobulin followed by alkaline phosphatase-labeled anti-rabbit immunoglobulin. This test detected viremia titers as low as 2.1 log<inf>10</inf> PFU/ml in experimentally infected monkey sera, a titer often exceeded in patients with Lassa fever. Inactivation of infectious virus by beta-propiolactone or gamma-irradiation did not diminish reactivity. Antigen-ELISA concentrations increased with infectivity for the first 10 days after infection but then declined while infectivity titers remained high, suggesting that the presence of humoral antibody in viremic sera diminishes the sensitivity of the antigen ELISA. Lassa virus-specific immunoglobulin M (IgM) titers measured in an IgM capture ELISA were detectable within 10 days of infection and peaked after 36 days but remained detectable for 1.5 years. The Lassa virus-specific IgG ELISA response was slightly delayed, peaking on day 73 but declining only slightly thereafter. These studies in a realistic primate model suggest that the antigen detection ELISA or the IgM capture ELISA described, in which beta-propiolactone-inactivated sera are used, should be useful for the rapid diagnosis of human Lassa fever.",Include,Include,Exclude,>1
Rodent species and their correlation with human seropositivity for zoonotic infections in Ghana,2013,American Journal of Tropical Medicine and Hygiene,"Nimo Paintsil, S. C. and Fichet-Calvet, E. and Mohareb, E. and Morales, M. and Bonney, J. H. and Obiri-Danso, K. and Ampofo, W. K. and Schoepp, R. J. and Kronmann, K. C.","Rodents serve as reservoirs and/or vectors for several human infections which account for high morbidity and mortality in Africa. The remarkable expansion of human population has brought them into increasing contact with these mammals, thereby disrupting their habitats and increasing opportunities for disease transmission. To investigate possible risk factors for exposure to some of these pathogens, 764 small mammals were collected from ten communities in Ghana together with 657 human sera from healthy adults living in the same communities. Rodents were captured by setting Sherman collapsible traps along marked lines in fields (outdoors) and houses (indoors) totaling 9,269 night traps for three consecutive nights. The small mammals caught constituted ten genera of which whole blood of two rodents (0.3%) Mus (Nannomys) sp. tested positive for arenaviruses and one kidney tissue from Croccidura sp tested positive for Leptospira by conventional polymerase chain reaction (PCR). All rodent lung tissues were negative for Hantaviruses (Dobrava and Puumala serotypes). Using an in-house enzyme-immunoassay (ELISA), human serum showed evidence of arenavirus antibodies in 34 samples (5%). Antibodies to Puumala and Dobrava serotypes and Leptospirosis were also detected in 11%, 12% and 21% respectively with commercial kits. The occurrence of immunoglobulin G (IgG) antibodies to Dobrava and Puumala serotypes was more common in females (54%) than in males whereas the opposite was observed for Lassa virus (LASV) and Leptospirosis (52%). Human exposure to zoonotic infections was observed to cut across all age groups. Seropositivity was highest for anti-LASV at site 7 (29%), anti-hantavirus (Dobrava serotype) at site 10 (26%), and anti-Leptospira at site 8 (19%) located in the Eastern, Brong Ahafo, and Northern Regions respectively. Fifty six individuals had been exposed to more than one of the rodentborne infections tested whereas 208 had been exposed to only one type of infection. The known reservoirs of the different pathogens that were tested in the human sera were captured in most of the study sites but human exposure could not be linked to their presence. This study suggests that 40% of residents in rural farming communities in Ghana have measurable antibodies to at least one rodent-borne disease (LASV, hantavirus, or Leptospirosis), which is not surprising given the ubiquitous presence of rodents in subsistence farming communities.",Include,Include,Include,3
Detection of Antibody and Antigen for Lassa Virus Nucleoprotein in Monkeys from Southern Nigeria,NA,Journal of Epidemiology and Global Health,"Ogunro, B. N. and Olugasa, B. O. and Kayode, A. and Ishola, O. O. and Kolawole, O. N. and Odigie, E. A. and Happi, C.","Lassa fever is a deadly viral haemorrhagic fever caused by Lassa Virus (LASV). Rodents, especially, Mystomys natalensis, are the known reservoirs of LASV and humans are the defined hosts. Monkeys share many illnesses with humans and experimental LASV infections in monkeys are fatal but natural LASV infection of monkeys has not been reported. Serum samples obtained between August 2015 and December 2017 from 62 monkeys belonging to six species in Southern Nigeria were tested for LASV as part of an ongoing surveillance of monkeys in the region for zoonotic pathogens. Commercially available Recombinant LASV (ReLASV) Pan-Lassa enzyme-linked immunosorbent assay (ELISA) test kits (Zalgen Labs, Germantown, MD, USA) were used to detect antibodies (IgG and IgM) and antigen specific for LASV nucleoprotein in the sera. Lassa-fever-specific IgG and IgM, and antigen specific for LASV nucleoprotein were detected in 5/62, 0/62, and 1/62 samples, respectively. The presence of LASV-specific antibodies in the sera suggests natural exposure to the virus, while the presence of LASV antigen may mean that monkeys are carriers of the virus. There is a need to broaden Lassa fever surveillance to include nonhuman primates (NHPs) for their probable role in the epidemiology of the disease.",Include,Include,Include,3
"Arenavirus diversity and phylogeography of mastomys natalensis Rodents, Nigeria",2016,Emerging Infectious Diseases,"Olayemi, A. and Obadare, A. and Oyeyiola, A. and Igbokwe, J. and Fasogbon, A. and Igbahenah, F. and Ortsega, D. and Asogun, D. and Umeh, P. and Vakkai, I. and Abejegah, C. and Pahlman, M. and Becker-Ziaja, B. and Gunther, S. and Fichet-Calvet, E.","Mastomys natalensis rodents are natural hosts for Lassa virus (LASV). Detection of LASV in 2 mitochondrial phylogroups of the rodent near the Niger and Benue Rivers in Nigeria underlines the potential for LASV emergence in fresh phylogroups of this rodent. A Mobala-like sequence was also detected in eastern Nigeria. Copyright Â© 2016, Centers for Disease Control and Prevention (CDC). All rights reserved.",Include,Include,Maybe,>1
"Widespread arenavirus occurrence and seroprevalence in small mammals, Nigeria",2018,Parasites and Vectors,"Olayemi, A. and Oyeyiola, A. and Obadare, A. and Igbokwe, J. and Adesina, A. S. and Onwe, F. and Ukwaja, K. N. and Ajayi, N. A. and Rieger, T. and Gunther, S. and Fichet-Calvet, E.","Background: Lassa fever, killing thousands of people annually, is the most reported viral zoonotic disease in Nigeria. Recently, different rodent species carrying diverse lineages of the Lassa virus (LASV) in addition to a novel Mobala-like genetic sequence were detected within the country. Here, screening 906 small mammal specimens from 11 localities for IgG antibodies and incorporating previous PCR detection data involving the same populations, we further describe arenavirus prevalence across Nigeria in relation to host species and geographical location. Method(s): Small mammals were trapped during the period 2011-2015 according to geographical location (endemic and non-endemic zones for Lassa fever), season (rainy and dry seasons between 2011 and 2012 for certain localities) and habitat (indoors, peridomestic settings and sylvatic vegetation). Identification of animal specimens from genera such as Mastomys and Mus (Nannomys) was assisted by DNA sequencing. Small mammals were tested for LASV IgG antibody using an indirect immunofluorescence assay (IFA). Result(s): Small mammals were infected in both the endemic and non-endemic zones for Lassa fever, with a wider range of species IgG-positive (n = 8) than those which had been previously detected to be PCR-positive (n = 3). IgG-positive species, according to number of infected individuals, were Mastomys natalensis (n = 40), Mastomys erythroleucus (n = 15), Praomys daltoni (n = 6), Mus baoulei (n = 5), Rattus rattus (n = 2), Crocidura spp. (n = 2), Mus minutoides (n = 1) and Praomys misonnei (n = 1). Multimammate mice (Mastomys natalensis and M. erythroleucus) were the most ubiquitously infected, with animals testing positive by either PCR or IgG in 7 out of the 11 localities sampled. IgG prevalence in M. natalensis ranged from 1% in Abagboro, 17-36 % in Eguare Egoro, Ekpoma and Ngel Nyaki, up to 52 % in Mayo Ranewo. Prevalence according to locality, season and age was not, however, statistically significant for M. natalensis in Eguare Egoro and Ekpoma, localities that were sampled longitudinally. Conclusion(s): Overall, our study demonstrates that arenavirus occurrence is probably more widely distributed geographically and in extent of host taxa than is currently realized. This expanded scope should be taken into consideration in Lassa fever control efforts. Further sampling should also be carried out to isolate and characterize potential arenaviruses present in small mammal populations we found to be seropositive. Copyright Â© 2018 The Author(s).",Include,Include,Include,3
"Isolation, subtype determination and altenuation of lassa fever virus from wild rodents in Southwest Nigeria",2018,American Journal of Tropical Medicine and Hygiene,"Oyediran, O. A.","The project is focused on vector ecology and virus epidemiology, skills in studying emerging viruses Molecular characterization of isolates from a wider geographic area to fully understand the diversity of the LASV strains and its impact on disease distribution and risks. Such information would be useful for developing efficient viral detection technologies, for example, enabling design of PCR primers and antibodies specific for a broad range of LASV types. These diagnostic tests are extremely relevant to disease surveillance, monitoring and evaluation of interventions to prevent primary LASV epidemics in humans. More extensive information about sequence diversity affecting the antigenicity of the virus or the function of its RNAdependent, RNA polymerase may help in the development of vaccines and antiviral drugs. It will also lead to deeper understanding of the biology and pathogenesis of LASV Reconcile age-related surveillance trends through an immune-epidemiologic hypothesis, age-related patterns in crossreactive strains humoral and cell-mediated immunity that may correlate with outcomes.determine presence of homologous and cross-negative neuraminidase-inhibiting(NI) antibodies against viral strains in sera. Results from this study will add to the current, the existing body of knowledge about Lassa Hemorrhagic fever. Further investigations may open potential therapy/vaccine candidates. The study is relevant to public health policy and practice in combination therapy approach to enhance immunity towards prevention, treatment and control of Lassa fever infection. .",Include,Include,Exclude,>1
Contribution of the murine and primate models to the study of arenaviral diseases and hemorrhagic fevers,2009,Revista Colombiana De Ciencias Pecuarias,"Rodas, J. D. and Hewson, R. and Salvato, M.","This manuscript is an inedited part of my PhD dissertation, based on historical and recent findings on animal models, that was presented as part of the requirements to fulfill the conditions to become a philosophical doctor on Veterinary Sciences at the University of Wisconsin on October of 2003. The current mini-review written on a free-version style, underlines some of the cornerstones of immunology as a science, understood thanks to the use of the Lymphocytic Choriomeningitis virus ( LCMV) experimentally and naturally infected mouse model. It should suffice to say that there have been two Nobel prices of Medicine for discoveries made through the employment of this animal model, in order to recognize the right importance to it. In addition, several laboratories, Dr. Salvato's among them, have also employed the LCMV-infected Rhesus monkey model as a tool to unravel the mysteries of arenaviral hemorrhagic fever, and particularly the physiopathology of Lassa disease in humans. Here I show some of the knowledge generated through the study of both animal infections.",Exclude,Include,Exclude,>1
"Detection of lassa virus, mali",2010,Emerging Infectious Diseases,"Safronetz, D. and Lopez, J. E. and Sogoba, N. and Traore, S. F. and Raffel, S. J. and Fischer, E. R. and Ebihara, H. and Branco, L. and Garry, R. F. and Schwan, T. G. and Feldmann, H.","To determine whether Lassa virus was circulating in southern Mali, we tested samples from small mammals from 3 villages, including Soromba, where in 2009 a British citizen probably contracted a lethal Lassa virus infection. We report the isolation and genetic characterization of Lassa virus from an area previously unknown for Lassa fever.",Include,Include,Include,3
Geographic Distribution and Genetic Characterization of Lassa Virus in Sub-Saharan Mali,2013,PLoS Neglected Tropical Diseases,"Safronetz, D. and Sogoba, N. and Lopez, J. E. and Maiga, O. and Dahlstrom, E. and Zivcec, M. and Feldmann, F. and Haddock, E. and Fischer, R. J. and Anderson, J. M. and Munster, V. J. and Branco, L. and Garry, R. and Porcella, S. F. and Schwan, T. G. and Feldmann, H.","Background:Lassa fever is an acute viral illness characterized by multi-organ failure and hemorrhagic manifestations. Lassa fever is most frequently diagnosed in Nigeria, Sierra Leone, Liberia, and Guinea, although sporadic cases have been recorded in other West African countries, including Mali. The etiological agent of Lassa fever is Lassa virus (LASV), an Arenavirus which is maintained in nature and frequently transmitted to humans by Mastomys natalensis. The purpose of this study was to better define the geographic distribution of LASV-infected rodents in sub-Saharan Mali.Methodologies/Principal Findings:Small mammals were live-trapped at various locations across Mali for the purpose of identifying potential zoonotic pathogens. Serological and molecular assays were employed and determined LASV infected rodents were exclusively found in the southern Mali near the border of Cote d'Ivoire. Overall, 19.4% of Mastomys natalensis sampled in this region had evidence of LASV infection, with prevalence rates for individual villages ranging from 0 to 52%. Full-length genomic sequences were determined using high throughput sequencing methodologies for LASV isolates generated from tissue samples of rodents collected in four villages and confirmed the phylogenetic clustering of Malian LASV with strain AV.Conclusions/Significance:The risk of human infections with LASV is greatest in villages in southern Mali. Lassa fever should be considered in the differential diagnosis for febrile individuals and appropriate diagnostic techniques need to be established to determine the incidence of infection and disease in these regions.",Include,Include,Include,3
Development of recombinant nucleoprotein-based diagnostic systems for lassa fever,2007,Clinical and Vaccine Immunology,"Saijo, M. and Georges-Courbot, M. C. and Marianneau, P. and Romanowski, V. and Fukushi, S. and Mizutani, T. and Georges, A. J. and Kurata, T. and Kurane, I. and Morikawa, S.","Diagnostic systems for Lassa fever (LF), a viral hemorrhagic fever caused by Lassa virus (LASV), such as enzyme immunoassays for the detection of LASV antibodies and LASV antigens, were developed using the recombinant nucleoprotein (rNP) of LASV (LASV-rNP). The LASV-rNP was expressed in a recombinant baculovirus system. LASV-rNP was used as an antigen in the detection of LASV-antibodies and as an immunogen for the production of monoclonal antibodies. The LASV-rNP was also expressed in HeLa cells by transfection with the expression vector encoding cDNA of the LASV-NP gene. An immunoglobulin G enzyme-linked immunosorbent assay (ELISA) using LASV-rNP and an indirect immunofluorescence assay using LASV-rNP-expressing HeLa cells were confirmed to have high sensitivity and specificity in the detection of LASV-antibodies. A novel monoclonal antibody to LASV-rNP, monoclonal antibody 4A5, was established. A sandwich antigen capture (Ag-capture) ELISA using the monoclonal antibody and an anti-LASV-rNP rabbit serum as capture and detection antibodies, respectively, was then developed. Authentic LASV nucleoprotein in serum samples collected from hamsters experimentally infected with LASV was detected by the Ag-capture ELISA. The Ag-capture ELISA specifically detected LASV-rNP but not the rNPs of lymphocytic choriomeningitis virus or Junin virus. The sensitivity of the Ag-capture ELISA in detecting LASV antigens was comparable to that of reverse transcription-PCR in detecting LASV RNA. These LASV rNP-based diagnostics were confirmed to be useful in the diagnosis of LF even in institutes without a high containment laboratory, since the antigens can be prepared without manipulation of the infectious viruses. Copyright Â© 2007, American Society for Microbiology. All Rights Reserved.",Include,Include,Maybe,>1
Comparison of MagPix Assays and Enzyme-Linked Immunosorbent Assay for Detection of Hemorrhagic Fever Viruses,NA,Journal of Clinical Microbiology,"Satterly, N. G. and Voorhees, M. A. and Ames, A. D. and Schoepp, R. J.","Viral hemorrhagic fevers, because of their high mortality rates, the lack of medical countermeasures, and their potential use as instruments of bioterrorism, pose a significant threat to the developed and the developing areas of the world. The key to preventing the spread of these diseases is early and accurate detection. For decades, the gold-standard immunoassay for hemorrhagic fever detection has been the enzyme-linked immunosorbent assay (ELISA); however, newer technologies are emerging with increased sensitivities. One such technology is the Luminex MagPix platform using xMAP microspheres. Here, we compare the MagPix platform with a traditional ELISA for IgM and antigen detection of infections from Lassa and Ebola viruses (LASV and EBOV, respectively). For IgM detection in nonhuman primate samples, the MagPix platform was 5 and 25 times more sensitive in detecting LASV and EBOV, respectively, compared to that with ELISA. For antigen detection in buffer, the MagPix platform was 25 and 2.5 times more sensitive in detecting lower levels of LASV and EBOV, respectively. In both IgM and antigen detection assays, the MagPix platform demonstrated excellent reproducibility at the lower limit of detection (LLOD). These findings demonstrate that the MagPix platform is a viable diagnostic replacement for the ELISA for viral hemorrhagic fevers.",Include,Include,Maybe,>1
"Clinical laboratory, virologic, and pathologic changes in hamsters experimentally infected with pirital virus (Arenaviridae): A rodent model of Lassa fever",2006,American Journal of Tropical Medicine and Hygiene,"Sbrana, E. and Mateo, R. I. and Xiao, S. Y. and Popov, V. L. and Newman, P. C. and Tesh, R. B.","The clinical laboratory, virologic, and pathologic changes occurring in hamsters after infection with Pirital virus (Arenaviridae) are described. Pirital virus infection in the hamsters was characterized by high titered viremia, leukocytosis, coagulopathy, pulmonary hemorrhage and edema, hepatocellular and splenic necrosis, and marked elevation of serum transaminase levels. All of the animals died within 9 days. The clinical and histopathological findings in the Pirital virus-infected hamsters were very similar to those reported in severe human cases of Lassa fever, suggesting that this new animal model could serve as a low-cost and relatively safe alternative for studying the pathogenesis and therapy of Lassa fever. Copyright Â© 2006 by The American Society of Tropical Medicine and Hygiene.",Exclude,Include,Exclude,>1
Use of monoclonal antibody for the detection of Lassa virus antibody and antigen in patients with Lassa fever,1986,Medical Microbiology and Immunology,"Schmitz, H. and Wolf, H. R.","Monoclonal antibodies to numerous epitopes of Lassa virus (LV) (strain Josiah) were obtained in our high security laboratory after immunization of BALB/c mice with infected mouse brain. The antibodies had been selected by indirect immunofluorescence procedure using acetone-fixed Vero cells infected with LV [3]. After recloning, 14 LVspecific hybridomas were obtained. The monoclonals were characterized by radioimmune precipitation using 35 S-methionine-labelled LV proteins, and were found to be directed at the glycoprotein G2 and the nucleocapsid antigen [ 1]. A cocktail of three monoclonal antibodies was employed in a double-labelling procedure to control the demonstration of anti-LV antibodies in human sera. By the use of rhodamine-labelled anti-mouse immunoglobulin and fluoresceine-labelled antihuman immunglobulin antisera specific staining could be clearly differentiated from nonspecific fluorescence obtained with many human sera at low dilutions. Further experiments were carried out to detect LV antigen in human serum samples. The monoclonal antibodies were isolated from cell culture fluids and labelled with peroxidase; they were then employed in our enzyme immunoassay which measures adherence of immune complexes to rheumatoid factor (RF) bound to a solid phase [2]. For this, different quantities of mouse brain or Vero cell antigen were mixed with human serum having an anti-LV titer of > 2,000 as determined by indirect immunofluorescence procedure. This antigen-antibody mixture was incubated overnight with RF fixed to the surfaces of microtiter plates. The immune complexes sticking to the RFcoated plates were then detected by adherence of peroxidase-labelled monoclonal antibody during further incubation for 3 h. The results were compared with the results obtained by a conventional sandwich enzyme immunoassay in which the solid phase had been coated with monoclonal antibody and bound antigen was revealed by use of additional peroxidase-labelled monoclonal antibody. Evaluation disclosed that about 10 ng of antigen could be detected with both methods. In a further experiment LV antigen was added to 10% human serum to mimic the conditions under which it is found in sera from patients. In the presence of 10% human serum the RF test turned out to be significantly more sensitive than the sandwich test.",Include,Exclude,Exclude,>1
Sensitivity and specificity of diagnostic tests for Lassa fever: A systematic review,2019,BMC Infectious Diseases,"Takah, N. F. and Brangel, P. and Shrestha, P. and Peeling, R.","Background: Lassa fever virus has been enlisted as a priority pathogen of epidemic potential by the World Health organization Research and Development (WHO R & D) Blueprint. Diagnostics play a crucial role in epidemic preparedness. This systematic review was conducted to determine the sensitivity and specificity of Lassa fever diagnostic tests for humans. Method(s): We searched OVID Medline, OVID Embase, Scopus and Web of Science for laboratory based and field studies that reported the performance of diagnostic tests for Lassa fever in humans from 1 January 1990 to 25 January 2019. Two reviewers independently screened all the studies and included only studies that involved the evaluation of a Lassa fever diagnostic test and provided data on the sensitivity and specificity. The quality of the studies was assessed using the QUADAS-2 criteria. Data on the study location, study design, type of sample, index test, reference tests and diagnostic performance were extracted from the studies. Result(s): Out of a total of 1947 records identified, 1245 non-duplicate citations were obtained. Twenty-six (26) full-text articles examined which identified 08 studies meeting pre-defined criteria. Only one study was a field evaluation study. The sensitivity and specificity of the point of care (RDT) against the Nikisins qPCR were 91.2%(95% CI:75.2-97.7) and 86%(95% CI: 71.4-94.2) at temperatures 18-30 degreeC, while the sensitivity and specificity of the single IgM ELISA assay against standard RT-PCR were 31.1%(95%CI: 25.6-37) and 95.7%(95%CI:92.8-97.7). The sensitivity of the combined ELISA Antigen/IgM assay(against virus isolation), the recombinant IgM/IgG ELISA(against standard RT-PCR), and the IgM/IgG immunoblot(against IFA) were 88%(95%CI:77-95), 25.9%(95%CI:20.8-31.6), and 90.7%(95%CI:84.13-97.27) respectively. The specificity of the combined ELISA Antigen/IgM assay(against virus isolation), the recombinant IgM/IgG ELISA(against standard RT-PCR), and the IgM/IgG immunoblot(against IFA) were 90%(95%CI:88-91), 100%(95%CI:98.2-100), and 96.3%(95%CI:92.2-100) respectively. Conclusion(s): Lassa fever has assays for antigenaemia, IgM, IgG and PCR detection. The RDT reportedly performed well but more data are needed from other countries and at temperatures above 30 degreeC. Most combined immunoassays perform better than the single IgM. Multiplex and pan-Lassa assays are needed. More well conducted field studies are needed. Trial registration: Prospero registration number: CRD42018091585. Copyright Â© 2019 The Author(s).",Exclude,Include,Exclude,>1
"Comprehensive panel of real-time TaqMan polymerase chain reaction assays for detection and absolute quantification of filoviruses, arenaviruses, and New World hantaviruses",NA,American Journal of Tropical Medicine & Hygiene,"Trombley, A. R. and Wachter, L. and Garrison, J. and Buckley-Beason, V. A. and Jahrling, J. and Hensley, L. E. and Schoepp, R. J. and Norwood, D. A. and Goba, A. and Fair, J. N. and Kulesh, D. A.","Viral hemorrhagic fever is caused by a diverse group of single-stranded, negative-sense or positive-sense RNA viruses belonging to the families Filoviridae (Ebola and Marburg), Arenaviridae (Lassa, Junin, Machupo, Sabia, and Guanarito), and Bunyaviridae (hantavirus). Disease characteristics in these families mark each with the potential to be used as a biological threat agent. Because other diseases have similar clinical symptoms, specific laboratory diagnostic tests are necessary to provide the differential diagnosis during outbreaks and for instituting acceptable quarantine procedures. We designed 48 TaqMan-based polymerase chain reaction (PCR) assays for specific and absolute quantitative detection of multiple hemorrhagic fever viruses. Forty-six assays were determined to be virus-specific, and two were designated as pan assays for Marburg virus. The limit of detection for the assays ranged from 10 to 0.001 plaque-forming units (PFU)/PCR. Although these real-time hemorrhagic fever virus assays are qualitative (presence of target), they are also quantitative (measure a single DNA/RNA target sequence in an unknown sample and express the final results as an absolute value (e.g., viral load, PFUs, or copies/mL) on the basis of concentration of standard samples and can be used in viral load, vaccine, and antiviral drug studies.",Include,Exclude,Exclude,>1
"Short report: Comprehensive panel of real-time TaqManTM polymerase chain reaction assays for detection and absolute quantification of filoviruses, arenaviruses, and new world hantaviruses",2010,American Journal of Tropical Medicine and Hygiene,"Trombley, A. R. and Wachter, L. and Garrison, J. and Buckley-Beason, V. A. and Jahrling, J. and Hensley, L. E. and Schoepp, R. J. and Norwood, D. A. and Goba, A. and Fair, J. N. and Kulesh, D. A.","Viral hemorrhagic fever is caused by a diverse group of single-stranded, negative-sense or positive-sense RNA viruses belonging to the families Filoviridae (Ebola and Marburg), Arenaviridae (Lassa, Junin, Machupo, Sabia, and Guanarito), and Bunyaviridae (hantavirus). Disease characteristics in these families mark each with the potential to be used as a biological threat agent. Because other diseases have similar clinical symptoms, specific laboratory diagnostic tests are necessary to provide the differential diagnosis during outbreaks and for instituting acceptable quarantine procedures. We designed 48 TaqManTM-based polymerase chain reaction (PCR) assays for specific and absolute quantitative detection of multiple hemorrhagic fever viruses. Forty-six assays were determined to be virus-specific, and two were designated as pan assays for Marburg virus. The limit of detection for the assays ranged from 10 to 0.001 plaque-forming units (PFU)/PCR. Although these real-time hemorrhagic fever virus assays are qualitative (presence of target), they are also quantitative (measure a single DNA/RNA target sequence in an unknown sample and express the final results as an absolute value (e.g., viral load, PFUs, or copies/mL) on the basis of concentration of standard samples and can be used in viral load, vaccine, and antiviral drug studies. Copyright Â© 2010 by The American Society of Tropical Medicine and Hygiene.",Exclude,Include,Exclude,>1
RT-PCR assay for detection of Lassa virus and related Old World arenaviruses targeting the L gene,2007,Transactions of the Royal Society of Tropical Medicine and Hygiene,"Vieth, S. and Drosten, C. and Lenz, O. and Vincent, M. and Omilabu, S. and Hass, M. and Becker-Ziaja, B. and ter Meulen, J. and Nichol, S. T. and Schmitz, H. and Gunther, S.","This study describes an RT-PCR assay targeting the L RNA segment of arenaviruses. Conserved regions were identified in the polymerase domain of the L gene on the basis of published sequences for Lassa virus, lymphocytic choriomeningitis virus (LCMV), Pichinde virus and Tacaribe virus, as well as 15 novel sequences for Lassa virus, LCMV, Ippy virus, Mobala virus and Mopeia virus determined in this study. Using these regions as target sites, a PCR assay for detection of all known Old World arenaviruses was developed and optimized. The concentration that yields 95% positive results in a set of replicate tests (95% detection limit) was determined to be 4290 copies of Lassa virus L RNA per ml of serum, corresponding to 30 copies per reaction. The ability of the assay to detect various Old World arenaviruses was demonstrated with in vitro transcribed RNA, material from infected cell cultures and samples from patients with Lassa fever and monkeys with LCMV-associated callitrichid hepatitis. The L gene PCR assay may be applicable: (i) as a complementary diagnostic test for Lassa virus and LCMV; (ii) to identify unknown Old World arenaviruses suspected as aetiological agents of disease; and (iii) for screening of potential reservoir hosts for unknown Old World arenaviruses. Â© 2007 Royal Society of Tropical Medicine and Hygiene.",Include,Maybe,Maybe,>1
Recent isolations of Lassa virus from Nigerian rodents,1975,Bulletin of the World Health Organization,"Wulff, H. and Fabiyi, A. and Monath, T. P.","Rodents were trapped in the Benue Plateau and North Eastern States of Nigeria where Lassa fever had been reported in previous years. Eight Lassa virus strains were isolated from tissues and blood of rodents identified in the field as being of 3 different species: Mastomys natalensis, Rattus rattus, and Mus minutoides. All the infected rodents were collected in village habitats. These isolations indicate the presence of Lassa virus in wild rodents in Nigeria during periods when no human infections were evident. Prior studies in Sierra Leone have indicated that a single rodent species, M. natalensis, may be the important reservoir host of Lassa virus. Since the present study indicates that other rodent species may be involved as well, the ecology of Lassa virus may be more complicated than was herefore supposed. In view of the importance of determining the geographic and species range of rodent hosts of Lassa virus, and because of the problems inherent in rodent identification under austere field conditions, it is urgent that further studies be conducted in the same areas of Nigeria to confirm these findings.",Include,Include,Include,3
